created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 26 23:47:40 +0000 2024;1,76226E+18;@anjasrudhiarto @zanatul_91 Ya. Makanya ada yg kebelet memaksakan Kurikulum Merdeka. Ini juga perlu kita lawan. Tanpa evaluasi Kurmer pemaksaan kurikulum ini sangat sarat kepentingan kelompok. #janganpaksakankurikulummerdeka;0;0;0;2;in;2483096305;1,76226E+18;pijarguru;https://twitter.com/pijarguru/status/1762263188937327067
Mon Feb 26 23:40:40 +0000 2024;1,76226E+18;Tapi mari kita lihat, kek apa sih Kurikulum Nasional ini. Semoga gak lebih menyebalkan dari Kurikulum Merdeka.;0;1;0;0;in;1,55305E+18;1,76226E+18;luomingye;https://twitter.com/luomingye/status/1762261427782627548
Mon Feb 26 23:14:43 +0000 2024;1,76225E+18;@Guru_PNS Poin 1 sama 3 gimana? Mau ganti kurikulum merdeka tapi ada festival kurikulum merdeka? 🥲🙏🏻;0;2;1;16;in;7,19416E+17;1,76225E+18;imayaesha;https://twitter.com/imayaesha/status/1762254897649787185
Mon Feb 26 18:44:04 +0000 2024;1,76219E+18;Lomba Poster Anti-Perundungan Kurikulum Merdeka https://t.co/C9fI80NNCV;0;0;0;3;in;23786106;1,76219E+18;kompasiana;https://twitter.com/kompasiana/status/1762186787055931628
Mon Feb 26 16:51:32 +0000 2024;1,76216E+18;ini kalo nadin makarim jadinya rayuan kurikulum merdeka https://t.co/CCqYssKemD;0;2;0;0;in;1,41342E+18;1,76216E+18;voinoces;https://twitter.com/voinoces/status/1762158465487884466
Mon Feb 26 16:16:13 +0000 2024;1,76215E+18;@sumURluvv Tugas untuk guru kak, di kurikulum merdeka belajar dan mengerjakannya di aplikasi 😭😭;0;1;0;0;in;1,54284E+18;1,76209E+18;Siska241019;https://twitter.com/Siska241019/status/1762149578126827796
Mon Feb 26 16:05:43 +0000 2024;1,76215E+18;3 bulan doang wkwk yg kurikulum merdeka mah 6 bulan;0;0;0;0;in;1,67405E+18;1,76215E+18;amoursyk;https://twitter.com/amoursyk/status/1762146935056781458
Mon Feb 26 16:05:31 +0000 2024;1,76215E+18;"@ardisatriawan Berkali-kali ikut pelatihan kurikulum merdeka, dibilangin sama pembicaranya. Klo siswa kalian banyak yg tidak tuntas drpd yg tuntas, maka kalian sbg guru harus refleksi diri. Apa yg kurang dlm pembelajaran saya"". Itu pembicara mau kusuruh ngajar 1x aja di kls ku rasanya wkwkwk""";0;0;0;0;in;1,60953E+18;1,76193E+18;Reanismm;https://twitter.com/Reanismm/status/1762146885215936711
Mon Feb 26 15:58:57 +0000 2024;1,76215E+18;@ardisatriawan (3) beban administrasi gilak2an sejak kurikulum merdeka, ada aja gebrakannya. Smp gk ada waktu buat bikin media pembelajaran Kan ini ceritanya ganti kurikulum, otomatis media pembelajaran diperbarui sesuai pedoman terbaru.;0;1;0;0;in;1,60953E+18;1,76193E+18;Reanismm;https://twitter.com/Reanismm/status/1762145234920870074
Mon Feb 26 14:44:13 +0000 2024;1,76213E+18;Contoh kecil: dlm kurikulum 2013 muncul mapel bhs Inggris peminatan di jenjang SMA, yg dulunya ga ada. Di kurikulum merdeka mapel itu entah kemana.   Blm penjurusan yg berubah2, akhirnya kebutuhan guru juga berubah terus. Ini yg kadang ga disadari pengambil kebijakan.;0;0;0;0;in;910650462;1,76213E+18;ezraputranda;https://twitter.com/ezraputranda/status/1762126426864844885
Mon Feb 26 14:02:04 +0000 2024;1,76212E+18;@gyhist ulangan matematika sama bingg DITAMBAH PROYEK P5 padahal seharusnya aku ikut kurikulum merdeka ntuh di SMA tapi tertekannya sekarang Y 😊🗿🦄;0;0;0;1;in;1,7435E+18;1,7621E+18;badtzmadu;https://twitter.com/badtzmadu/status/1762115817511280690
Mon Feb 26 14:01:01 +0000 2024;1,76212E+18;Kurikulum merdeka menyiksa banget cuy https://t.co/lk3pH3qGAQ;0;2;0;2;in;1,73399E+18;1,76212E+18;SkuderiaShitbox;https://twitter.com/SkuderiaShitbox/status/1762115555530838102
Mon Feb 26 13:50:35 +0000 2024;1,76211E+18;Kunci Jawaban Bahasa Indonesia Kelas 6 SD Halaman 176 Semester 2 Kurikulum Merdeka, Soal Latihan 2 https://t.co/Td67ebyP9L;0;0;0;0;in;1434466604;1,76211E+18;ArdanNews;https://twitter.com/ArdanNews/status/1762112931402273042
Mon Feb 26 13:42:09 +0000 2024;1,76211E+18;Kunci Jawaban Bahasa Indonesia Kelas 6 SD Halaman 176 Semester 2 Kurikulum Merdeka, Soal Latihan 2 https://t.co/P5hyGOsUbi;0;0;0;0;in;1434466604;1,76211E+18;ArdanNews;https://twitter.com/ArdanNews/status/1762110807968825350
Mon Feb 26 13:09:50 +0000 2024;1,7621E+18;@eunseokirei ITUU KYK KEGIATAN GT BUAT YG KURIKULUM MERDEKA beda beda sih kegiatannya kadang karnaval, kadang fashion show, kadang demokrasi GT GT DEH;0;1;0;1;in;1,74911E+18;1,76205E+18;myuungcil;https://twitter.com/myuungcil/status/1762102676056338581
Mon Feb 26 12:49:03 +0000 2024;1,7621E+18;KB Rantai Kasih Peroleh Penghargaan Sebagai Sekolah Penggerak, Perintis dan Pelaksana Kurikulum Merdeka https://t.co/yuTp549xuq https://t.co/f1kwFkBe7u;0;0;0;0;in;1,53776E+18;1,7621E+18;arikamedia;https://twitter.com/arikamedia/status/1762097445855748346
Mon Feb 26 12:42:33 +0000 2024;1,7621E+18;https://t.co/KbfkuaOcYX  #kuncijawaban #tekateki #kurikulummerdeka #kuncijawaban;0;0;0;0;qme;1,71785E+18;1,7621E+18;BantenViva;https://twitter.com/BantenViva/status/1762095807506096522
Mon Feb 26 12:16:46 +0000 2024;1,76209E+18;Kgt bet kwn sm pancasila jd 4 sks,,, apakah ini demi mencapai kesetimbangan karena di kurikulum merdeka porsi sejarah berkurang 😀;0;0;0;0;in;1,00454E+18;1,76209E+18;keleponayam;https://twitter.com/keleponayam/status/1762089320037695920
Mon Feb 26 12:08:00 +0000 2024;1,76209E+18;Rapat koordinasi implementasi kurikulum merdeka, Balai Besar Guru Penggerak Sulawesi Selatan. Kegiatan dilaksanakan di Makassar, (23 -25 Februari 2024). https://t.co/54896UyEHD;0;0;0;0;in;2915670524;1,76209E+18;bbgpsulsel;https://twitter.com/bbgpsulsel/status/1762087113808588842
Mon Feb 26 11:14:54 +0000 2024;1,76207E+18;bawa akuu lari dari kurikulum merdeka ini ya Allah......;0;0;0;0;in;1,43586E+18;1,76207E+18;butterflyxon;https://twitter.com/butterflyxon/status/1762073752408568298
